City_ID,City,Country,Max Temp,Current Condition,Lat,Lng,Hotel Name
232,Jais,IN,87.46,broken clouds,26.25,81.53,Manoj Tea Staal
234,Loharu,IN,79.74,scattered clouds,28.45,75.82,Sainik Guest House
235,Cockburn Town,TC,79.12,clear sky,21.46,-71.14,Osprey Beach Hotel
236,Grand Gaube,MU,77.0,scattered clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
238,Ozieri,IT,75.2,overcast clouds,40.59,9.0,B&B Santu Larentu
239,Soyo,AO,81.57,scattered clouds,-6.13,12.37,Hotel Mpampa
243,Vilhena,BR,82.58,broken clouds,-12.74,-60.15,Hotel Mirage
248,Kismayo,SO,84.36,light rain,-0.36,42.55,Agan-Hotel
249,Talara,PE,87.8,clear sky,-4.58,-81.27,Hostal Oro Negro
250,Dwarka,IN,80.8,clear sky,22.24,68.97,Hotel Narayan Avezika Comfort
254,Puri,IN,82.4,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
255,Viedma,AR,85.23,broken clouds,-40.81,-63.0,Hotel Cristal
256,Thinadhoo,MV,85.82,few clouds,0.53,72.93,
261,Chitungwiza,ZW,75.2,overcast clouds,-18.01,31.08,Damview Hotel
262,Oriximina,BR,85.66,light rain,-1.77,-55.87,Pousada Tia Amélia
267,Hadejia,NG,88.52,clear sky,12.45,10.04,Women Centre
270,Neuquen,AR,80.6,clear sky,-38.95,-68.06,Hotel del Comahue
275,Presidencia Roque Saenz Pena,AR,80.98,clear sky,-26.79,-60.44,Hotel Aconcagua
281,Kudahuvadhoo,MV,85.86,light rain,2.67,72.89,Kudahuvadhoo Retreat
283,Dharmavaram,IN,88.27,scattered clouds,14.43,77.72,BALAJI LODGE
286,Camargo,MX,80.74,overcast clouds,27.67,-105.17,Hotel Santa Fe
288,Tabas,IR,75.2,scattered clouds,33.6,56.92,شرکت معماری مهراز شایگان آراد
289,Maihar,IN,87.91,scattered clouds,24.27,80.75,Hotel Akriti
291,Sinnamary,GF,82.15,light rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
292,West Bay,KY,87.8,few clouds,19.37,-81.42,Calypso Cove
294,Marrakesh,MA,78.8,scattered clouds,31.63,-8.01,Les Jardins de La Koutoubia
296,Praia,CV,80.6,few clouds,14.92,-23.51,LT Aparthotel
298,Riyadh,SA,86.0,broken clouds,24.69,46.72,InterContinental Riyadh
299,Saint-Georges,GD,86.0,few clouds,12.06,-61.75,Radisson Grenada Beach Resort
303,Bengkulu,ID,77.63,light rain,-3.8,102.27,Grage Hotel Bengkulu
304,Feijo,BR,86.77,few clouds,-8.16,-70.35,Hotel e Restaurante Aҫai
306,Antalaha,MG,76.5,light rain,-14.9,50.28,Hotel Vitasoa
307,Itaituba,BR,82.99,light rain,-4.28,-55.98,Hotel Campos
310,Teshie,GH,87.8,few clouds,5.58,-0.11,ANAIVEH SERVICES
311,Diourbel,SN,87.35,clear sky,14.66,-16.39,ISFAR maison Blanche
312,Jaru,BR,81.46,overcast clouds,-10.44,-62.47,Hotel Paraná
313,Biltine,TD,83.73,clear sky,14.53,20.92,Hôtel Trois Étoiles de Biltine
