City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
69,Chiredzi,-21.05,31.67,90.75,29,40,6.8,ZW,2020-04-16 14:36:59
70,Swabi,34.12,72.47,73.99,42,99,2.48,PK,2020-04-16 14:32:14
71,Ilhabela,-23.78,-45.36,74.93,72,95,5.32,BR,2020-04-16 14:36:59
72,Corinto,37.94,22.96,64.99,34,0,13.87,GR,2020-04-16 14:36:59
73,Altamira,-3.2,-52.21,82.4,78,40,2.24,BR,2020-04-16 14:36:59
74,Norton Shores,43.17,-86.26,36.0,43,75,16.11,US,2020-04-16 14:36:59
75,Pangnirtung,66.15,-65.71,19.4,62,90,9.17,CA,2020-04-16 14:36:59
76,Harnosand,62.63,17.94,48.0,33,5,25.28,SE,2020-04-16 14:34:01
77,Hobyo,5.35,48.53,85.64,70,6,12.35,SO,2020-04-16 14:36:59
78,Codrington,-38.27,141.97,54.97,75,49,20.69,AU,2020-04-16 14:36:59
79,Bubaque,11.28,-15.83,81.5,64,58,7.83,GW,2020-04-16 14:36:59
80,Ribeira Brava,32.65,-17.07,68.0,60,40,21.92,PT,2020-04-16 14:36:59
81,Zabol,32.25,67.25,49.46,41,100,10.16,AF,2020-04-16 14:36:59
82,Nosy Varika,-20.58,48.53,75.72,81,5,6.55,MG,2020-04-16 14:36:59
83,Itacare,-14.28,-39.0,83.71,66,19,7.92,BR,2020-04-16 14:36:59
84,Santa Rosa,14.31,121.11,84.99,74,75,6.93,PH,2020-04-16 14:36:15
85,Vikulovo,56.82,70.61,50.04,65,69,7.58,RU,2020-04-16 14:32:05
86,El Calvario,14.12,-89.92,78.71,40,6,1.1,GT,2020-04-16 14:37:00
87,Mocuba,-16.84,36.99,82.54,65,0,6.64,MZ,2020-04-16 14:37:00
88,Hualmay,-11.1,-77.61,77.56,60,70,9.37,PE,2020-04-16 14:37:00
89,Hukuntsi,-24.0,21.75,80.4,12,0,6.42,BW,2020-04-16 14:37:00
90,Kruisfontein,-34.0,24.73,65.3,56,0,10.67,ZA,2020-04-16 14:37:00
91,Santa Lucia,27.91,-15.54,73.0,68,40,8.05,ES,2020-04-16 14:37:00
92,Hit,33.64,42.83,81.84,17,49,4.94,IQ,2020-04-16 14:37:00
93,Sistranda,63.73,8.83,39.2,72,75,24.16,NO,2020-04-16 14:34:12
94,Iqaluit,63.75,-68.51,10.4,78,75,25.28,CA,2020-04-16 14:37:00
95,Gibara,21.11,-76.13,82.4,74,40,6.93,CU,2020-04-16 14:37:00
96,Ponta Delgada,37.73,-25.67,60.8,77,40,12.75,PT,2020-04-16 14:37:00
97,Rawson,-43.3,-65.1,73.58,39,3,8.86,AR,2020-04-16 14:37:00
98,Keetmanshoop,-26.58,18.13,82.4,12,62,8.05,NA,2020-04-16 14:37:01
99,Banfora,10.63,-4.77,105.39,16,6,10.13,BF,2020-04-16 14:37:01
100,Mar Del Plata,-38.0,-57.56,62.6,72,20,4.7,AR,2020-04-16 14:37:01
101,Rosetta,31.4,30.42,66.2,63,40,13.87,EG,2020-04-16 14:37:01
102,Severnyy,50.68,36.55,51.8,50,75,22.37,RU,2020-04-16 14:35:42
103,Domoni,-12.26,44.53,83.21,70,23,6.73,KM,2020-04-16 14:37:01
104,Nizwa,22.93,57.53,82.11,26,47,6.51,OM,2020-04-16 14:37:01
105,Dikson,73.51,80.55,3.09,87,28,8.75,RU,2020-04-16 14:33:04
106,Nantucket,41.28,-70.1,48.2,49,1,13.87,US,2020-04-16 14:37:01
107,Monrovia,6.3,-10.8,93.2,63,40,3.36,LR,2020-04-16 14:37:01
108,Robertsport,6.75,-11.37,88.48,61,80,6.24,LR,2020-04-16 14:37:01
109,Sohag,26.56,31.69,95.0,6,66,16.11,EG,2020-04-16 14:33:31
110,Kirkwall,58.98,-2.96,48.99,61,40,5.82,GB,2020-04-16 14:37:01
111,Tazovskiy,67.47,78.7,13.1,96,0,7.7,RU,2020-04-16 14:32:06
112,Chabahar,25.29,60.64,82.17,55,96,2.21,IR,2020-04-16 14:32:05
113,Berlevag,70.86,29.09,33.8,74,75,6.91,NO,2020-04-16 14:37:02
114,Kulu,39.1,33.08,53.38,41,54,17.16,TR,2020-04-16 14:37:02
115,Castelo Do Piaui,-5.32,-41.55,85.08,67,55,3.47,BR,2020-04-16 14:37:02
